Region;Product/service;01'2019;02'2019;03'2019;04'2019;05'2019;06'2019;07'2019;08'2019;09'2019;10'2019;11'2019;12'2019
DOLNOSLASKIE;apple juice;105.8;111.2;105.8;101.6;99.2;101.0;102.6;102.1;101.6;105.1;105.9;105.1
KUJAWSKO-POMORSKIE;apple juice;106.9;105.3;103.5;108.5;109.4;107.0;106.1;100.8;100.8;101.5;106.4;99.7
LODZKIE;apple juice;101.8;101.8;99.5;100.8;97.2;98.7;100.5;95.0;99.7;97.8;96.9;108.4
LUBELSKIE;apple juice;107.9;105.4;100.0;99.5;101.0;104.5;106.9;106.4;106.7;101.3;104.4;107.0
LUBUSKIE;apple juice;109.7;107.1;98.1;111.0;99.7;104.0;100.0;103.2;94.9;96.2;99.5;98.7
MALOPOLSKIE;apple juice;103.1;101.2;111.0;105.0;107.0;105.1;102.8;101.0;105.5;101.0;104.5;96.6
MAZOWIECKIE;apple juice;102.7;97.2;101.3;100.5;94.8;96.6;97.1;95.9;95.6;97.8;100.0;104.8
OPOLSKIE;apple juice;110.8;103.3;112.8;98.9;94.5;100.6;99.4;107.2;106.8;114.6;104.3;100.3
PODKARPACKIE;apple juice;104.5;104.8;100.2;103.5;103.0;105.2;102.0;102.5;108.7;98.8;102.2;100.7
PODLASKIE;apple juice;110.8;104.3;111.9;108.6;94.4;101.6;101.8;101.6;108.0;107.0;106.0;102.4
POMORSKIE;apple juice;101.1;103.2;100.8;95.0;105.3;100.8;102.1;105.5;109.8;104.7;102.6;112.4
SLASKIE;apple juice;92.1;99.5;98.4;100.0;97.0;101.1;105.0;100.8;101.1;101.3;103.8;108.2
SWIETOKRZYSKIE;apple juice;107.6;104.1;102.0;96.9;97.5;101.4;101.1;102.2;98.1;98.1;96.8;105.7
WARMINÉSKO-MAZURSKIE;apple juice;98.4;101.3;102.9;108.0;105.2;106.8;107.2;108.1;114.0;106.5;101.5;101.0
WIELKOPOLSKIE;apple juice;106.0;101.8;101.6;98.7;102.0;101.3;103.1;103.4;101.3;98.0;93.9;95.9
ZACHODNIOPOMORSKIE;apple juice;106.7;107.7;110.6;103.4;98.5;103.3;104.1;101.7;104.2;101.3;101.3;99.5
DOLNOSLASKIE;apples;62.6;63.3;63.0;61.3;61.5;62.7;65.2;92.2;122.7;145.0;170.8;162.8
KUJAWSKO-POMORSKIE;apples;64.0;64.1;57.6;55.2;56.4;58.9;61.9;96.7;111.7;133.2;161.9;156.6
LODZKIE;apples;56.3;57.8;56.2;57.1;54.1;60.8;61.9;102.4;140.0;164.6;170.3;168.1
LUBELSKIE;apples;59.0;63.2;62.4;58.8;61.9;59.8;68.6;104.0;128.5;145.5;157.3;155.7
LUBUSKIE;apples;61.4;61.8;61.4;63.8;69.0;71.5;74.7;94.6;133.1;145.9;162.4;148.7
MALOPOLSKIE;apples;54.4;56.1;54.4;53.1;53.3;56.6;66.7;95.0;146.6;145.4;183.4;175.7
MAZOWIECKIE;apples;61.1;59.4;52.8;49.8;54.0;58.2;64.2;96.8;134.0;141.0;162.9;168.7
OPOLSKIE;apples;55.7;54.4;54.1;52.0;49.7;57.1;58.7;89.0;127.3;151.8;175.9;175.2
PODKARPACKIE;apples;48.7;50.7;50.6;45.8;46.5;50.8;60.6;94.4;133.8;138.1;146.2;158.4
PODLASKIE;apples;60.0;59.3;63.9;61.9;58.3;59.6;64.1;82.2;129.0;136.4;147.3;157.6
POMORSKIE;apples;66.6;68.1;68.3;65.5;62.1;60.9;63.8;84.8;112.3;140.9;144.0;157.1
SLASKIE;apples;64.1;65.3;62.4;61.8;63.3;59.7;62.3;86.5;113.3;135.0;147.3;146.0
SWIETOKRZYSKIE;apples;69.2;70.4;64.1;60.9;54.5;61.6;72.6;87.3;113.2;124.9;131.6;139.4
WARMINÉSKO-MAZURSKIE;apples;66.1;65.3;59.8;59.4;62.0;67.2;68.4;94.7;121.5;126.4;143.0;157.8
WIELKOPOLSKIE;apples;65.0;62.8;64.1;62.6;60.0;61.1;64.4;86.5;113.6;139.5;155.8;160.3
ZACHODNIOPOMORSKIE;apples;60.9;59.1;58.3;56.8;59.3;61.2;69.7;83.3;115.6;141.2;155.9;172.8
DOLNOSLASKIE;beef meat;105.5;102.4;100.1;99.6;104.4;103.7;102.6;102.0;101.8;101.1;102.2;103.0
KUJAWSKO-POMORSKIE;beef meat;101.2;97.1;98.9;105.1;107.5;104.0;100.2;102.4;99.3;98.3;99.7;103.0
LODZKIE;beef meat;101.1;103.7;101.2;102.6;106.0;102.6;101.6;104.3;104.7;104.8;103.3;102.3
LUBELSKIE;beef meat;104.9;102.9;104.0;99.6;100.7;100.5;101.6;99.5;97.9;98.4;98.3;99.3
