Region;Month;rice;wheat roll;wheat-rye bread;wheat flour;pearl-barley groats;roast-beef;beef meat;pork;chicken;pork ham;dried sausage;smoked sausage;hake fish;carp fish;cows' milk fat 3.5%;cows' milk fat 2.5%;cottage cheese;yellow cheese;sour cream fat 18%;butter;margarine;rape oil;apples;oranges;lemons;carrots;onions;potatoes;sugar;chocolate;coffee;apple juice;beer;cigarettes;men's suit;men's shirt;men's cotton undershirt;women's tights;kid's trousers;men's suit dry-cleaning;men's low leather shoes;women's low leather shoes;resoling men's shoes;sink fixture;cold water by municipal water-system;heating of dwellings;hard coal;hot water;synthetic net curtain;frotte cotton towel;food mixer;microwave oven;porcelain soup plate;washing powder;doctor consultation;petrol 95;disel oil;bus ticket;taxi daily fare;cinema ticket;regional newspaper;men's hair-cutting;toilet soap;tooth-paste;segregated waste collection;non-segregated waste collection
DOLNOSLASKIE;01'2019;103.4;113.0;109.4;100.8;93.7;103.3;105.5;97.4;101.9;101.2;101.9;100.7;101.9;102.5;97.9;99.3;96.4;100.0;104.2;108.8;94.8;95.1;62.6;91.7;99.5;146.5;147.9;144.1;89.8;102.0;100.9;105.8;105.6;98.9;100.4;104.6;98.1;101.4;81.3;106.4;100.0;92.6;105.0;94.9;102.8;100.0;99.7;102.9;102.6;98.9;98.4;101.1;111.8;100.5;106.6;101.9;109.6;103.4;99.6;105.0;107.1;103.4;107.4;100.8;100.0;100.0
DOLNOSLASKIE;02'2019;101.8;113.0;109.0;103.1;96.6;103.5;102.4;102.7;101.3;99.0;101.3;97.7;101.9;0.0;97.9;100.0;96.2;100.9;101.5;115.2;96.8;99.2;63.3;94.6;96.8;139.6;171.1;177.9;98.4;99.5;99.9;111.2;105.2;99.4;99.9;102.9;95.2;100.6;86.8;104.4;99.7;94.5;105.0;95.9;102.8;101.7;100.0;103.5;103.6;98.0;103.3;99.2;112.2;100.5;106.6;103.0;111.3;103.4;101.5;105.7;107.1;103.6;104.7;96.3;101.9;100.0
DOLNOSLASKIE;03'2019;100.3;106.4;106.8;102.7;97.8;103.9;100.1;101.3;106.4;101.0;99.5;99.7;101.3;0.0;97.2;106.3;99.3;101.6;99.5;103.6;95.2;103.0;63.0;94.3;101.7;137.2;173.4;175.0;109.1;104.5;99.7;105.8;106.3;99.5;94.9;98.9;95.2;104.0;91.2;106.3;103.1;97.0;105.6;94.4;102.8;101.7;100.1;102.9;105.0;97.2;103.1;100.6;113.2;99.8;106.0;104.5;113.0;103.4;101.5;105.7;107.1;107.0;100.0;113.3;101.9;102.5
DOLNOSLASKIE;04'2019;102.1;106.4;106.8;100.4;97.8;103.3;99.6;110.4;111.2;103.2;100.3;103.7;102.4;0.0;95.5;101.5;97.6;103.1;100.0;104.0;92.7;97.5;61.3;98.3;94.9;121.0;178.3;201.6;111.1;105.1;101.9;101.6;109.6;99.2;95.6;100.8;95.2;101.0;92.9;105.3;109.1;100.7;102.4;94.2;102.8;98.8;100.2;102.9;106.3;99.4;98.5;96.8;113.8;101.2;106.6;107.7;110.7;103.4;101.5;101.5;107.1;107.0;103.6;119.0;104.2;106.7
DOLNOSLASKIE;05'2019;101.3;106.4;109.7;105.5;95.9;100.4;104.4;125.1;110.3;107.6;101.9;101.5;103.5;0.0;97.2;100.0;99.8;102.8;99.5;101.0;88.7;101.9;61.5;97.1;79.1;108.0;208.9;227.0;119.0;99.0;95.8;99.2;111.6;99.2;93.4;101.3;95.9;102.8;94.3;105.5;110.2;101.0;103.6;101.0;102.8;98.8;99.9;103.1;105.7;99.6;104.2;96.0;118.2;100.2;106.6;104.0;103.5;103.4;102.2;101.0;107.1;108.5;102.5;112.2;108.6;113.8
DOLNOSLASKIE;06'2019;101.8;106.4;109.2;110.0;101.2;101.6;103.7;115.1;102.0;109.2;102.8;107.0;103.7;0.0;97.2;98.5;97.8;101.9;108.9;88.5;90.2;105.4;62.7;91.5;69.3;93.6;205.5;193.8;117.3;97.3;102.4;101.0;108.7;99.4;93.4;103.4;99.6;105.1;102.0;105.9;111.5;101.3;104.2;104.3;102.7;98.3;100.4;105.1;105.7;99.6;99.9;99.0;117.5;95.8;105.9;102.7;101.9;103.4;103.4;100.6;107.1;109.3;102.5;115.4;108.6;113.8
DOLNOSLASKIE;07'2019;101.0;108.5;110.4;104.7;102.7;101.8;102.6;111.8;102.3;108.0;105.0;103.1;103.6;0.0;95.5;101.9;101.0;107.2;104.7;86.0;90.0;110.5;65.2;101.0;76.8;95.3;170.3;194.4;128.3;100.5;96.3;102.6;106.8;99.4;103.9;104.0;97.5;104.6;110.2;105.2;110.6;103.6;103.0;106.3;105.2;98.3;99.5;105.0;103.6;99.1;95.9;95.1;117.6;96.2;105.9;101.0;100.2;103.4;103.4;100.1;107.1;109.3;95.4;116.4;108.6;113.8
DOLNOSLASKIE;08'2019;103.4;102.0;110.0;110.7;104.4;100.1;102.0;110.9;103.9;106.3;105.4;110.4;103.6;0.0;99.6;105.0;101.5;107.4;105.2;88.7;89.4;102.9;92.2;91.0;76.3;104.9;156.5;198.6;123.9;103.5;98.4;102.1;103.7;99.6;103.9;104.8;97.7;104.6;109.5;105.6;108.7;103.4;103.0;102.7;104.8;98.3;100.8;105.5;108.4;98.6;99.8;101.0;120.4;99.7;105.9;100.4;100.6;101.1;103.8;104.1;107.1;109.3;96.0;112.1;115.7;122.4
DOLNOSLASKIE;09'2019;102.8;102.0;106.6;109.2;103.5;102.2;101.8;111.7;100.5;106.5;105.3;107.5;103.9;0.0;99.3;103.0;101.6;108.9;101.5;87.6;92.7;109.2;122.7;90.3;75.9;97.3;153.5;188.4;120.6;104.2;96.0;101.6;103.4;99.6;99.5;106.3;97.7;105.4;114.1;105.0;108.0;99.7;103.0;108.9;104.6;98.3;100.5;103.7;108.4;98.6;97.1;99.8;112.7;99.7;105.3;97.7;99.2;101.1;105.2;100.2;110.0;110.3;86.6;126.3;126.9;142.3
DOLNOSLASKIE;10'2019;103.4;102.0;103.5;103.9;107.7;103.5;101.1;113.1;105.4;112.0;109.0;108.4;101.4;0.0;101.8;98.9;104.3;106.2;101.6;85.2;93.1;106.6;145.0;100.6;103.4;87.7;129.6;178.0;117.3;102.7;94.1;105.1;101.7;99.5;99.5;104.1;96.6;105.4;110.2;105.0;97.7;107.5;103.0;106.6;104.6;98.3;100.6;102.6;110.0;96.7;98.2;101.4;107.1;98.8;106.4;96.7;96.7;101.1;103.2;100.1;110.0;113.8;105.4;108.1;129.2;143.8
