month;Product/service;DOLNOSLASKIE;KUJAWSKO-POMORSKIE;LODZKIE;LUBELSKIE;LUBUSKIE;MALOPOLSKIE;MAZOWIECKIE;OPOLSKIE;PODKARPACKIE;PODLASKIE;POMORSKIE;SLASKIE;SWIETOKRZYSKIE;WARMINSKO-MAZURSKIE;WIELKOPOLSKIE;ZACHODNIOPOMORSKIE
01'2019;rice;103.4;106.5;102.5;98.2;104.5;98.7;102.0;96.1;98.5;90.9;101.6;100.0;100.6;90.3;99.4;96.9
01'2019;wheat roll;113.0;109.5;113.2;106.8;122.9;115.2;110.3;106.0;112.8;119.0;117.1;110.0;110.5;102.4;112.5;109.8
01'2019;wheat-rye bread;109.4;111.5;111.1;108.2;112.9;112.1;107.9;113.2;110.3;112.1;115.9;108.2;106.7;109.9;112.1;119.7
01'2019;wheat flour;100.8;107.4;104.7;109.9;109.1;99.2;94.9;97.8;111.4;111.2;104.0;105.0;100.0;105.3;112.3;96.4
01'2019;pearl-barley groats;93.7;95.5;107.3;100.4;90.3;100.0;109.3;112.3;98.6;102.0;113.7;102.2;102.6;103.3;98.9;103.2
01'2019;roast-beef;103.3;102.5;98.3;107.9;99.4;103.9;105.2;104.3;106.8;97.0;105.6;99.8;100.0;97.8;98.8;96.7
01'2019;beef meat;105.5;101.2;101.1;104.9;104.3;100.9;101.1;99.1;104.3;100.3;98.6;98.0;101.5;101.4;100.3;101.7
01'2019;pork;97.4;102.0;100.2;96.8;96.9;104.1;99.2;102.9;99.4;104.5;105.7;101.7;98.8;104.0;104.3;102.0
01'2019;chicken;101.9;100.3;97.9;106.9;100.8;89.7;96.0;97.4;93.2;90.6;83.6;100.4;86.4;99.4;95.7;96.7
01'2019;pork ham;101.2;105.7;99.4;108.8;91.1;95.3;105.1;108.0;97.6;103.8;108.0;102.9;103.8;98.1;106.2;101.6
01'2019;dried sausage;101.9;100.4;97.2;95.9;96.2;98.9;99.8;104.2;101.8;100.6;102.9;103.8;114.5;96.4;97.1;103.4
01'2019;smoked sausage;100.7;101.7;102.3;109.8;106.1;101.4;99.0;95.3;100.1;88.9;110.5;100.2;92.3;95.4;105.4;101.3
01'2019;hake fish;101.9;109.2;102.1;101.6;102.1;93.7;97.2;102.3;102.0;103.1;96.2;105.3;102.8;103.5;104.3;94.3
01'2019;carp fish;102.5;100.5;93.3;106.9;104.7;124.1;103.5;0.0;105.8;109.2;101.9;99.5;103.0;96.7;101.8;97.8
01'2019;cows' milk fat 3.5%;97.9;100.4;102.3;94.1;98.9;93.9;100.4;93.5;94.2;95.4;96.0;96.4;98.8;98.6;99.3;97.3
01'2019;cows' milk fat 2.5%;99.3;101.2;104.1;104.0;102.1;99.6;101.2;102.8;98.9;100.8;100.0;101.2;97.6;102.0;102.7;93.6
01'2019;cottage cheese;96.4;96.5;103.1;102.0;106.8;98.8;100.4;99.4;100.5;99.2;103.2;103.1;98.4;104.6;98.1;96.5
01'2019;yellow cheese;100.0;98.3;101.1;101.9;93.7;98.2;99.2;98.7;101.2;100.6;105.7;99.9;94.3;98.3;97.4;93.1
